"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","948511","Piero  Dassovich and Anna  Giannetti","","","","Re-engineering a Distributed IR System Through a Disciplined, Task-centered Approach Based on Evaluation and Metrics","94--101","","8","MUSiC methods and tools, evaluation and metrics, information retrieval, interaction design, re-engineering of legacy systems, task analysis, usability testing","10.1145/948496.948511","","","","","","","1998","","Proceedings of the Working Conference on Advanced Visual Interfaces","AVI '98","","","L'Aquila, Italy","ACM","New York, NY, USA"
"article","506737","Christopher P. Holland and Ben  Light","","","","A Stage Maturity Model for Enterprise Resource Planning Systems Use","34--45","","12","ERP, IS evolution, IS maturity, competitive advantage, enterprise resource planning, legacy systems, standard package, standard software, systems implementation","10.1145/506732.506737","SIGMIS Database","Spring 2001","32","2","","April","2001","0095-0033","","","","","","ACM","New York, NY, USA"
"article","1182542","Anita  Kvamme","","","","Usability Achievements Based on UI Framework with Screen Categories and State Transition Diagrams","481--482","","2","UI architecture, UI framework, UI standard, UI states, application UI, client development, legacy system, rich client application, user interface design","10.1145/1182475.1182542","","","","","","","2006","","Proceedings of the 4th Nordic Conference on Human-computer Interaction: Changing Roles","NordiCHI '06","","1-59593-325-5","Oslo, Norway","ACM","New York, NY, USA"
"article","2675232","Stina  Matthiesen and Pernille  Bj&#248;rn","","","","Why Replacing Legacy Systems Is So Hard in Global Software Development: An Information Infrastructure Perspective","876--890","","15","ethnographic study, excavation work, global software development (gsd), information infrastructure, interface integration, legacy systems, outsourcing, system interfaces","10.1145/2675133.2675232","","","","","","","2015","","Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work &#38; Social Computing","CSCW '15","","978-1-4503-2922-4","Vancouver, BC, Canada","ACM","New York, NY, USA"
"article","1621070","Gary F. Simons and William D. Lewis and Scott O. Farrar and D. Terence Langendoen and Brian  Fitzsimons and Hector  Gonzalez","","","","The Semantics of Markup: Mapping Legacy Markup Schemas to a Common Semantics","25--32","","8","","","","","","","","","2004","","Proceeedings of the Workshop on NLP and XML (NLPXML-2004): RDF/RDFS and OWL in Language Technology","NLPXML '04","","","","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","1080166","E.  Borgia and M.  Conti and F.  Delmastro and E.  Gregori","","","","Experimental Comparison of Routing and Middleware Solutions for Mobile Ad Hoc Networks: Legacy vs Cross-layer Approach","82--87","","6","cross-layer architecture, experimental evaluation, p2p systems, routing protocols","10.1145/1080148.1080166","","","","","","","2005","","Proceedings of the 2005 ACM SIGCOMM Workshop on Experimental Approaches to Wireless Network Design and Analysis","E-WIND '05","","1-59593-026-4","Philadelphia, Pennsylvania, USA","ACM","New York, NY, USA"
"article","2090279","Arefin  Huq","","","","The Nature and Limits of Computation: A Celebration of Alan Turing","5--5","","1","","10.1145/2090276.2090279","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","503286","George C. Necula and Scott  McPeak and Westley  Weimer","","","","CCured: Type-safe Retrofitting of Legacy Code","128--139","","12","","10.1145/565816.503286","SIGPLAN Not.","Jan. 2002","37","1","","January","2002","0362-1340","","","","","","ACM","New York, NY, USA"
"article","503286","George C. Necula and Scott  McPeak and Westley  Weimer","","","","CCured: Type-safe Retrofitting of Legacy Code","128--139","","12","","10.1145/503272.503286","","","","","","","2002","","Proceedings of the 29th ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages","POPL '02","","1-58113-450-9","Portland, Oregon","ACM","New York, NY, USA"
"article","2702583","Jaime  Ruiz and Daniel  Vogel","","","","Soft-Constraints to Reduce Legacy and Performance Bias to Elicit Whole-body Gestures with Low Arm Fatigue","3347--3350","","4","elicitation studies, whole-body gestures","10.1145/2702123.2702583","","","","","","","2015","","Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems","CHI '15","","978-1-4503-3145-6","Seoul, Republic of Korea","ACM","New York, NY, USA"
"article","2993606","Antonin  Steinhauser and Fran&#231;ois  Gauthier","","","","JSPChecker: Static Detection of Context-Sensitive Cross-Site Scripting Flaws in Legacy Web Applications","57--68","","12","cross-site scripting, data-flow, security, string analysis, web application","10.1145/2993600.2993606","","","","","","","2016","","Proceedings of the 2016 ACM Workshop on Programming Languages and Analysis for Security","PLAS '16","","978-1-4503-4574-3","Vienna, Austria","ACM","New York, NY, USA"
"article","324490","Scott  Wu and John  Rayter and Igor  Paprotny and Gerald T. Mackulak and Joakim  Yngve","","","","Increasing First Pass Accuracy of AMHS Simulation Output Using Legacy Data","784--789","","6","","10.1145/324138.324490","","","","","","","1999","","Proceedings of the 31st Conference on Winter Simulation: Simulation---a Bridge to the Future - Volume 1","WSC '99","","0-7803-5780-9","Phoenix, Arizona, USA","ACM","New York, NY, USA"
"article","260313","Owen  Walcher","","","","Reengineering Legacy Systems Using GUI and Client/Server Technology","37--38","","2","","10.1145/260304.260313","SIGPLAN OOPS Mess.","April 1994","5","2","","April","1993","1055-6400","","","","","","ACM","New York, NY, USA"
"article","260313","Owen  Walcher","","","","Reengineering Legacy Systems Using GUI and Client/Server Technology","37--38","","2","","10.1145/260303.260313","","","","","","","1993","","Addendum to the Proceedings on Object-oriented Programming Systems, Languages, and Applications (Addendum)","OOPSLA '93","","0-89791-661-1","Washington, D.C., USA","ACM","New York, NY, USA"
"article","316184","Nicky Williams Preston","","","","New Type Signatures for Legacy Fortran Subroutines","76--85","","10","Fortran, alias analysis, array region, dynamic alias, reverse engineering","10.1145/381788.316184","SIGSOFT Softw. Eng. Notes","Sept. 1999","24","5","","September","1999","0163-5948","","","","","","ACM","New York, NY, USA"
"article","316184","Nicky Williams Preston","","","","New Type Signatures for Legacy Fortran Subroutines","76--85","","10","Fortran, alias analysis, array region, dynamic alias, reverse engineering","10.1145/316158.316184","","","","","","","1999","","Proceedings of the 1999 ACM SIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering","PASTE '99","","1-58113-137-2","Toulouse, France","ACM","New York, NY, USA"
"article","170145","Rodolphe  Nassif and Don  Mitchusson","","","","Issues and Approaches for Migration/Cohabitation Between Legacy and New Systems","471--474","","4","","10.1145/170036.170145","SIGMOD Rec.","June 1, 1993","22","2","","June","1993","0163-5808","","","","","","ACM","New York, NY, USA"
"article","170145","Rodolphe  Nassif and Don  Mitchusson","","","","Issues and Approaches for Migration/Cohabitation Between Legacy and New Systems","471--474","","4","","10.1145/170035.170145","","","","","","","1993","","Proceedings of the 1993 ACM SIGMOD International Conference on Management of Data","SIGMOD '93","","0-89791-592-5","Washington, D.C., USA","ACM","New York, NY, USA"
"article","2090281","Vaggelis  Giannikas","","","","Public Relations for Computer Science Students","6--6","","1","","10.1145/2090276.2090281","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","1095812","Arvind  Seshadri and Mark  Luk and Elaine  Shi and Adrian  Perrig and Leendert  van Doorn and Pradeep  Khosla","","","","Pioneer: Verifying Code Integrity and Enforcing Untampered Code Execution on Legacy Systems","1--16","","16","dynamic root of trust, rootkit detection, self-check-summing code, software-based code attestation, verifiable code execution","10.1145/1095809.1095812","SIGOPS Oper. Syst. Rev.","December 2005","39","5","","October","2005","0163-5980","","","","","","ACM","New York, NY, USA"
"article","1095812","Arvind  Seshadri and Mark  Luk and Elaine  Shi and Adrian  Perrig and Leendert  van Doorn and Pradeep  Khosla","","","","Pioneer: Verifying Code Integrity and Enforcing Untampered Code Execution on Legacy Systems","1--16","","16","dynamic root of trust, rootkit detection, self-check-summing code, software-based code attestation, verifiable code execution","10.1145/1095810.1095812","","","","","","","2005","","Proceedings of the Twentieth ACM Symposium on Operating Systems Principles","SOSP '05","","1-59593-079-5","Brighton, United Kingdom","ACM","New York, NY, USA"
"article","2897348","Hans-Nikolai  Vie&#223;mann and Sven-Bodo  Scholz and Artjoms  &#352;inkarovs and Brian  Bainbridge and Brian  Hamilton and Simon  Flower","","","","Making Fortran Legacy Code More Functional: Using the BGS* Geomagnetic Field Modelling System As an Example","11:1--11:13","11","13","eigensystem, foreign function interface, fortran, functional programming, high-performance computing, single-assignment C","10.1145/2897336.2897348","","","","","","","2015","","Proceedings of the 27th Symposium on the Implementation and Application of Functional Programming Languages","IFL '15","","978-1-4503-4273-5","Koblenz, Germany","ACM","New York, NY, USA"
"article","962308","K.  Kontogiannis and M.  Bernstein and E.  Merlo and R.  DeMori","","","","The Development of a Partial Design Recovery Environment for Legacy Systems","206--216","","11","","","","","","","","","1993","","Proceedings of the 1993 Conference of the Centre for Advanced Studies on Collaborative Research: Software Engineering - Volume 1","CASCON '93","","","Toronto, Ontario, Canada","IBM Press",""
"article","2160982","Qusay H. Mahmoud and May  AlTaei and Leon  Jololian","","","","A Conference to Promote Undergraduate Research in the Arab World","53--55","","3","","10.1145/2090276.2160982","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","2090282","Ben  Deverett","","","","Spreading Knowledge: Talks and Lectures from ACM Student Chapters","7--7","","1","","10.1145/2090276.2090282","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","1920501","Bei  Yu and Min-chun  Ku","","","","Collecting Legacy Corpora from Social Science Research for Text Mining Evaluation","129:1--129:2","129","2","computational social science, corpora, evaluation, text categorization, topic clustering","","","","","","","","2010","","Proceedings of the 73rd ASIS&T Annual Meeting on Navigating Streams in an Information Ecosystem - Volume 47","ASIS&T '10","","","Pittsburgh, Pennsylvania","American Society for Information Science","Silver Springs, MD, USA"
"article","1413674","Pedro  Abreu and Pedro  Mendes","","","","Mastermind: An Augment Reality Approach: [Porting a Legacy Game to New Interaction Paradigms]","205--210","","6","3D interface, augmented-reality, pattern recognition, problem solving, sets theory","10.1145/1413634.1413674","","","","","","","2008","","Proceedings of the 3rd International Conference on Digital Interactive Media in Entertainment and Arts","DIMEA '08","","978-1-60558-248-1","Athens, Greece","ACM","New York, NY, USA"
"article","2090288","Aram  Harrow","","","","Why Now is the Right Time to Study Quantum Computing","32--37","","6","","10.1145/2090276.2090288","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","1639961","Martin  Kropp and Wolfgang  Schwaiger","","","","Reverse Generation and Refactoring of Fit Acceptance Tests for Legacy Code","659--664","","6","code generation, eclipse, maintenance, refactoring, testing","10.1145/1639950.1639961","","","","","","","2009","","Proceedings of the 24th ACM SIGPLAN Conference Companion on Object Oriented Programming Systems Languages and Applications","OOPSLA '09","","978-1-60558-768-4","Orlando, Florida, USA","ACM","New York, NY, USA"
"article","289565","Shan  Barkataki and Stu  Harte and Tong  Dinh","","","","Reengineering a Legacy System Using Design Patterns and Ada-95 Object-oriented Features","148--152","","5","Ada-95, design patterns, reengineering, reuse","10.1145/301687.289565","Ada Lett.","Nov./Dec. 1998","XVIII","6","","November","1998","1094-3641","","","","","","ACM","New York, NY, USA"
"article","289565","Shan  Barkataki and Stu  Harte and Tong  Dinh","","","","Reengineering a Legacy System Using Design Patterns and Ada-95 Object-oriented Features","148--152","","5","Ada-95, design patterns, reengineering, reuse","10.1145/289524.289565","","","","","","","1998","","Proceedings of the 1998 Annual ACM SIGAda International Conference on Ada","SIGAda '98","","1-58113-033-3","Washington, D.C., USA","ACM","New York, NY, USA"
"article","192850","Brian M. Barry and James  McGugan and Mike  Wilson","","","","DIR/SEE: A Smalltalk Environment for Developing Ada Applications and Maintaining Legacies","26--35","","10","","10.1145/192839.192850","Ada Lett.","Fall 1994","XIV","SI","","September","1994","1094-3641","","","","","","ACM","New York, NY, USA"
"article","192850","Brian M. Barry and James  McGugan and Mike  Wilson","","","","DIR/SEE: A Smalltalk Environment for Developing Ada Applications and Maintaining Legacies","26--35","","10","","10.1145/199189.192850","","","","","","","1994","","Proceedings of the Second International Symposium on Environments and Tools for Ada","SETA2","","","Washington, D.C., USA","ACM","New York, NY, USA"
"article","316696","B.  Amos and G.  Disney and D.  Sorrey","","","","Data Transfer Between Java Applets and Legacy APL Systems","13--20","","8","","10.1145/316691.316696","SIGAPL APL Quote Quad","June 1998","28","4","","January","1998","0163-6006","","","","","","ACM","New York, NY, USA"
"article","316696","B.  Amos and G.  Disney and D.  Sorrey","","","","Data Transfer Between Java Applets and Legacy APL Systems","13--20","","8","","10.1145/316689.316696","","","","","","","1997","","Proceedings of the Conference on Share Knowledge Share Success","APL '97","","","Ryerson Univ., Toronto, Ontario, Canada","ACM","New York, NY, USA"
"article","1185656","David  Mosley","","","","When to Migrate Legacy Embedded Applications","77--80","","4","certification, lifecycle, migration, portability","10.1145/1185875.1185656","Ada Lett.","December 2006","XXVI","3","","November","2006","1094-3641","","","","","","ACM","New York, NY, USA"
"article","1185656","David  Mosley","","","","When to Migrate Legacy Embedded Applications","77--80","","4","certification, lifecycle, migration, portability","10.1145/1185642.1185656","","","","","","","2006","","Proceedings of the 2006 Annual ACM SIGAda International Conference on Ada","SIGAda '06","","1-59593-563-0","Albuquerque, New Mexico, USA","ACM","New York, NY, USA"
"article","74886","W. C. Dietrich,Jr. and L. R. Nackman and F.  Gracer","","","","Saving Legacy with Objects","77--83","","7","","10.1145/74878.74886","SIGPLAN Not.","Oct. 1989","24","10","","September","1989","0362-1340","","","","","","ACM","New York, NY, USA"
"article","74886","W. C. Dietrich,Jr. and L. R. Nackman and F.  Gracer","","","","Saving Legacy with Objects","77--83","","7","","10.1145/74877.74886","","","","","","","1989","","Conference Proceedings on Object-oriented Programming Systems, Languages and Applications","OOPSLA '89","","0-89791-333-7","New Orleans, Louisiana, USA","ACM","New York, NY, USA"
"article","1276426","Allan G. Rempel and Matthew  Trentacoste and Helge  Seetzen and H. David Young and Wolfgang  Heidrich and Lorne  Whitehead and Greg  Ward","","","","Ldr2Hdr: On-the-fly Reverse Tone Mapping of Legacy Video and Photographs","","39","","image and video processing - high dynamic range/tone mapping, methods and applications - signal processing","10.1145/1276377.1276426","ACM Trans. Graph.","July 2007","26","3","","July","2007","0730-0301","","","","","","ACM","New York, NY, USA"
"article","1276426","Allan G. Rempel and Matthew  Trentacoste and Helge  Seetzen and H. David Young and Wolfgang  Heidrich and Lorne  Whitehead and Greg  Ward","","","","Ldr2Hdr: On-the-fly Reverse Tone Mapping of Legacy Video and Photographs","","39","","image and video processing - high dynamic range/tone mapping, methods and applications - signal processing","10.1145/1275808.1276426","","","","","","","2007","","ACM SIGGRAPH 2007 Papers","SIGGRAPH '07","","","San Diego, California","ACM","New York, NY, USA"
"article","2090289","Dennis  Shasha","","","","Future of Computing: Inspiration from Nature","38--39","","2","","10.1145/2090276.2090289","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","260353","Steven  Fraser and Terry  Cherry and Stephen  MacKay","","","","Re-engineering Design Trade-offs in a Legacy Context","115--117","","3","","10.1145/260304.260353","SIGPLAN OOPS Mess.","April 1994","5","2","","April","1993","1055-6400","","","","","","ACM","New York, NY, USA"
"article","260353","Steven  Fraser and Terry  Cherry and Stephen  MacKay","","","","Re-engineering Design Trade-offs in a Legacy Context","115--117","","3","","10.1145/260303.260353","","","","","","","1993","","Addendum to the Proceedings on Object-oriented Programming Systems, Languages, and Applications (Addendum)","OOPSLA '93","","0-89791-661-1","Washington, D.C., USA","ACM","New York, NY, USA"
"article","3019113","Christian  Hovy and Julian  Kunkel","","","","Towards Automatic and Flexible Unit Test Generation for Legacy HPC Code","42--49","","8","","10.1109/SE-HPCCSE.2016.6","","","","","","","2016","","Proceedings of the Fourth International Workshop on Software Engineering for HPC in Computational Science and Engineering","SE-HPCCSE '16","","978-1-5090-5224-0","Salt Lake City, Utah","IEEE Press","Piscataway, NJ, USA"
"article","1913959","Michal  Tvarozek and Maria  Bielikova","","","","Bridging Semantic and Legacy Web Exploration: Orientation, Revisitation and Result Exploration Support","326--329","","4","exploratory search, Web, Semantic Web, interface generation, revisitation support, graph visualization","10.1109/WI-IAT.2010.174","","","","","","","2010","","Proceedings of the 2010 IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology - Volume 03","WI-IAT '10","","978-0-7695-4191-4","","IEEE Computer Society","Washington, DC, USA"
"article","2662239","Jeanette  Blomberg","","","","Embedding Participatory Agendas in Industry: The Legacy of PD","115--115","","1","","10.1145/2662155.2662239","","","","","","","2014","","Proceedings of the 13th Participatory Design Conference: Short Papers, Industry Cases, Workshop Descriptions, Doctoral Consortium Papers, and Keynote Abstracts - Volume 2","PDC '14","","978-1-4503-3214-9","Windhoek, Namibia","ACM","New York, NY, USA"
"article","2737090","Ahmad-Reza  Sadeghi and Lucas  Davi and Per  Larsen","","","","Securing Legacy Software Against Real-World Code-Reuse Exploits: Utopia, Alchemy, or Possible Future?","55--61","","7","control-flow integrity, fine-grained randomization, software exploitation","10.1145/2714576.2737090","","","","","","","2015","","Proceedings of the 10th ACM Symposium on Information, Computer and Communications Security","ASIA CCS '15","","978-1-4503-3245-3","Singapore, Republic of Singapore","ACM","New York, NY, USA"
"article","2090286","Dana  Moshkovitz","","","","The Tale of the PCP Theorem","23--26","","4","","10.1145/2090276.2090286","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","2532356","Hari  Radhakrishnan and Damian W. I. Rouson and Karla  Morris and Sameer  Shende and Stavros C. Kassinos","","","","Test-driven Coarray Parallelization of a Legacy Fortran Application","33--40","","8","","10.1145/2532352.2532356","","","","","","","2013","","Proceedings of the 1st International Workshop on Software Engineering for High Performance Computing in Computational Science and Engineering","SE-HPCCSE '13","","978-1-4503-2499-1","Denver, Colorado","ACM","New York, NY, USA"
"article","2896843","Yavuz  Koroglu and Alper  Sen and Doruk  Kutluay and Akin  Bayraktar and Yalcin  Tosun and Murat  Cinar and Hasan  Kaya","","","","Defect Prediction on a Legacy Industrial Software: A Case Study on Software with Few Defects","14--20","","7","defect prediction, experience report, feature selection, process metrics, random forest","10.1145/2896839.2896843","","","","","","","2016","","Proceedings of the 4th International Workshop on Conducting Empirical Studies in Industry","CESI '16","","978-1-4503-4154-7","Austin, Texas","ACM","New York, NY, USA"
"article","260276","Antero  Taivalsaari and Roland  Trauter and Eduardo  Casais","","","","Workshop on Object-oriented Legacy Systems and Software Evolution","180--185","","6","","10.1145/260111.260276","SIGPLAN OOPS Mess.","Oct 1, 1995","6","4","","October","1995","1055-6400","","","","","","ACM","New York, NY, USA"
"article","260276","Antero  Taivalsaari and Roland  Trauter and Eduardo  Casais","","","","Workshop on Object-oriented Legacy Systems and Software Evolution","180--185","","6","","10.1145/260094.260276","","","","","","","1995","","Addendum to the Proceedings of the 10th Annual Conference on Object-oriented Programming Systems, Languages, and Applications (Addendum)","OOPSLA '95","","0-89791-721-9","Austin, Texas, USA","ACM","New York, NY, USA"
"article","1862382","Joris  Van Geet and Peter  Ebraert and Serge  Demeyer","","","","Redocumentation of a Legacy Banking System: An Experience Report","33--41","","9","","10.1145/1862372.1862382","","","","","","","2010","","Proceedings of the Joint ERCIM Workshop on Software Evolution (EVOL) and International Workshop on Principles of Software Evolution (IWPSE)","IWPSE-EVOL '10","","978-1-4503-0128-2","Antwerp, Belgium","ACM","New York, NY, USA"
"article","2688524","Andrew J.  McPherson and Vijay  Nagarajan and Susmit  Sarkar and Marcelo  Cintra","","","","Fence Placement for Legacy Data-race-free Programs via Synchronization Read Detection","249--250","","2","Fence Placement, Relaxed Memory Models","10.1145/2858788.2688524","SIGPLAN Not.","August 2015","50","8","","January","2015","0362-1340","","","","","","ACM","New York, NY, USA"
"article","2688524","Andrew J.  McPherson and Vijay  Nagarajan and Susmit  Sarkar and Marcelo  Cintra","","","","Fence Placement for Legacy Data-race-free Programs via Synchronization Read Detection","249--250","","2","Fence Placement, Relaxed Memory Models","10.1145/2688500.2688524","","","","","","","2015","","Proceedings of the 20th ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming","PPoPP 2015","","978-1-4503-3205-7","San Francisco, CA, USA","ACM","New York, NY, USA"
"article","199825","J. Morgan Morris","","","","Experiences with Mosaic for Legacy Projects","292--296","","5","","10.1145/199691.199825","SIGCSE Bull.","March 1995","27","1","","March","1995","0097-8418","","","","","","ACM","New York, NY, USA"
"article","199825","J. Morgan Morris","","","","Experiences with Mosaic for Legacy Projects","292--296","","5","","10.1145/199688.199825","","","","","","","1995","","Proceedings of the Twenty-sixth SIGCSE Technical Symposium on Computer Science Education","SIGCSE '95","","0-89791-693-X","Nashville, Tennessee, USA","ACM","New York, NY, USA"
"article","2090291","Robert J. Simmons","","","","Profile Dickie George: Looking Back on 40 Years at the NSA","40--41","","2","","10.1145/2090276.2090291","XRDS","Spring 2012","18","3","","March","2012","1528-4972","","","","","","ACM","New York, NY, USA"
"article","827234","Heidi  Schmidt","","","","The Roadies Take the Stage: On-going Development and Maintenance of the Legacy Tobacco Documents Library at the University of California San Francisco","404--404","","1","","","","","","","","","2003","","Proceedings of the 3rd ACM/IEEE-CS Joint Conference on Digital Libraries","JCDL '03","","0-7695-1939-3","Houston, Texas","IEEE Computer Society","Washington, DC, USA"
"article","2024191","Kevin  Karsch and Varsha  Hedau and David  Forsyth and Derek  Hoiem","","","","Rendering Synthetic Objects into Legacy Photographs","157:1--157:12","157","12","computational photography, image-based rendering, light estimation, photo editing","10.1145/2070781.2024191","ACM Trans. Graph.","December 2011","30","6","","December","2011","0730-0301","","","","","","ACM","New York, NY, USA"
"article","2024191","Kevin  Karsch and Varsha  Hedau and David  Forsyth and Derek  Hoiem","","","","Rendering Synthetic Objects into Legacy Photographs","157:1--157:12","157","12","computational photography, image-based rendering, light estimation, photo editing","10.1145/2024156.2024191","","","","","","","2011","","Proceedings of the 2011 SIGGRAPH Asia Conference","SA '11","","978-1-4503-0807-6","Hong Kong, China","ACM","New York, NY, USA"
"article","1449788","Wesley  Tansey and Eli  Tilevich","","","","Annotation Refactoring: Inferring Upgrade Transformations for Legacy Applications","295--312","","18","JUnit, annotations, eclipse, frameworks, java, metadata, refactoring, upgrading","10.1145/1449955.1449788","SIGPLAN Not.","September 2008","43","10","","October","2008","0362-1340","","","","","","ACM","New York, NY, USA"
"article","1449788","Wesley  Tansey and Eli  Tilevich","","","","Annotation Refactoring: Inferring Upgrade Transformations for Legacy Applications","295--312","","18","JUnit, annotations, eclipse, frameworks, java, metadata, refactoring, upgrading","10.1145/1449764.1449788","","","","","","","2008","","Proceedings of the 23rd ACM SIGPLAN Conference on Object-oriented Programming Systems Languages and Applications","OOPSLA '08","","978-1-60558-215-3","Nashville, TN, USA","ACM","New York, NY, USA"
"article","260275","Yeona  Jang","","","","Legacy Systems and Object Technology: Workshop Summary","176--179","","4","","10.1145/260111.260275","SIGPLAN OOPS Mess.","Oct 1, 1995","6","4","","October","1995","1055-6400","","","","","","ACM","New York, NY, USA"
"article","260275","Yeona  Jang","","","","Legacy Systems and Object Technology: Workshop Summary","176--179","","4","","10.1145/260094.260275","","","","","","","1995","","Addendum to the Proceedings of the 10th Annual Conference on Object-oriented Programming Systems, Languages, and Applications (Addendum)","OOPSLA '95","","0-89791-721-9","Austin, Texas, USA","ACM","New York, NY, USA"
"article","2390372","Vicente Bosch Campos and Alejandro H&#233;ctor Toselli and Enrique  Vidal","","","","Natural Language Inspired Approach for Handwritten Text Line Detection in Legacy Documents","107--111","","5","","","","","","","","","2012","","Proceedings of the 6th Workshop on Language Technology for Cultural Heritage, Social Sciences, and Humanities","LaTeCH '12","","","Avignon, France","Association for Computational Linguistics","Stroudsburg, PA, USA"
"article","1022551","Brian  Lawler","","","","Review of Modernizing Legacy Systems: Software Technologies, Engineering Processes and Business Practices by Robert C. Seacord, Daniel Plakosh and Grace A. Lewis. Addison Wesley 2003","37--37","","1","","10.1145/1022494.1022551","SIGSOFT Softw. Eng. Notes","September 2004","29","5","","September","2004","0163-5948","","","","","","ACM","New York, NY, USA"
"article","961358","Yu  Ping and Jianguo  Lu and Terence C. Lau and Kostas  Kontogiannis and Tack  Tong and Bo  Yi","","","","Migration of Legacy Web Applications to Enterprise JavaTM Environments Net.Data&#x00AE; to JSPTM Transformation","223--237","","15","Java 2 Enterprise Edition (J2EE<sup>TM</sup>), JavaBeans, JavaServer pages, Net.Data, SQL, migration, model-view-controller (MVC), transformation","","","","","","","","2003","","Proceedings of the 2003 Conference of the Centre for Advanced Studies on Collaborative Research","CASCON '03","","","Toronto, Ontario, Canada","IBM Press",""
"article","1743556","Leah  Hoffmann","","","","Robin Milner: The Elegant Pragmatist","20--21","","2","","10.1145/1743546.1743556","Commun. ACM","June 2010","53","6","","June","2010","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1629187","Leah  Hoffmann","","","","Amir Pnueli: Ahead of His Time","22--23","","2","","10.1145/1629175.1629187","Commun. ACM","January 2010","53","1","","January","2010","0001-0782","","","","","","ACM","New York, NY, USA"
"article","1188826","Steve R. Goldberg","","","","The Legacy of Disney Animation: A Journey to the Past, Present and Future Through the Eyes of Disney Animators, Directors, Designers, and Storytellers: Copyright Restrictions Prevent ACM from Providing the Full Text for This Work.","","4","","","10.1145/1188822.1188826","","","","","","","2005","","ACM SIGGRAPH 2005 Special Sessions","SIGGRAPH '05","","","Los Angeles, California","ACM","New York, NY, USA"
"article","2541960","Wenjia  Ruan and Trilok  Vyas and Yujie  Liu and Michael  Spear","","","","Transactionalizing Legacy Code: An Experience Report Using GCC and Memcached","399--412","","14","c++, gcc, memcached, transactional memory","10.1145/2541940.2541960","","","","","","","2014","","Proceedings of the 19th International Conference on Architectural Support for Programming Languages and Operating Systems","ASPLOS '14","","978-1-4503-2305-5","Salt Lake City, Utah, USA","ACM","New York, NY, USA"
"article","2541960","Wenjia  Ruan and Trilok  Vyas and Yujie  Liu and Michael  Spear","","","","Transactionalizing Legacy Code: An Experience Report Using GCC and Memcached","399--412","","14","c++, gcc, memcached, transactional memory","10.1145/2644865.2541960","SIGPLAN Not.","April 2014","49","4","","February","2014","0362-1340","","","","","","ACM","New York, NY, USA"
"article","2541960","Wenjia  Ruan and Trilok  Vyas and Yujie  Liu and Michael  Spear","","","","Transactionalizing Legacy Code: An Experience Report Using GCC and Memcached","399--412","","14","c++, gcc, memcached, transactional memory","10.1145/2654822.2541960","SIGARCH Comput. Archit. News","March 2014","42","1","","February","2014","0163-5964","","","","","","ACM","New York, NY, USA"
"article","319262","Joachim  Bayer and Jean-Fran&#231;ois  Girard and Martin  W&#252;rthner and Jean-Marc  DeBaud and Martin  Apel","","","","Transitioning Legacy Assets to a Product Line Architecture","446--463","","18","architecture recovery, domain-specific software architecture, reengineering, reuse, software product line","10.1145/318774.319262","SIGSOFT Softw. Eng. Notes","Nov. 1999","24","6","","October","1999","0163-5948","","","","","","ACM","New York, NY, USA"
"article","319262","Joachim  Bayer and Jean-Fran&#231;ois  Girard and Martin  W&#252;rthner and Jean-Marc  DeBaud and Martin  Apel","","","","Transitioning Legacy Assets to a Product Line Architecture","446--463","","18","architecture recovery, domain-specific software architecture, reengineering, reuse, software product line","","","","","","","","1999","","Proceedings of the 7th European Software Engineering Conference Held Jointly with the 7th ACM SIGSOFT International Symposium on Foundations of Software Engineering","ESEC/FSE-7","","3-540-66538-2","Toulouse, France","Springer-Verlag","London, UK, UK"
"article","2629499","Edgar G. Daylight","","","","A Turing Tale","36--38","","3","","10.1145/2629499","Commun. ACM","October 2014","57","10","","September","2014","0001-0782","","","","","","ACM","New York, NY, USA"
"article","364722","Dan  Teodor","","","","Web Servers and Dynamic Content","","6","","","","Linux J.","February 2001","2001","82es","","February","2001","1075-3583","","","","","","Belltown Media","Houston, TX"
